name,contactName,email,phone,address,notes
Accra Distributors Ltd,Kofi Asante,orders@accra-dist.com,0302123401,"12 Ring Road Central, Accra",Primary FMCG wholesale
Tema Packaging Co,Ama Boateng,sales@temapack.gh,0303200102,"Plot 4 Industrial Area, Tema",Cartons and shrink wrap
Volta Beverages GH,Yaw Mensah,orders@voltabev.com,0302550103,"Spintex Road, Accra",Soft drinks and water
Coastal Foods Ltd,Efua Darko,info@coastalfoods.gh,0302880104,"Kaneshie Market Complex, Accra",Dry goods and staples
Northern Agro Supply,Kwame Adjei,agro@northern.gh,0372020105,"Tamale Industrial Area",Rice oils grains
Golden Care Pharma,Akosua Owusu,wholesale@goldencare.gh,0302770106,"Osu Oxford Street, Accra",OTC and personal care
Office Essentials GH,Nana Yeboah,sales@officeessentials.gh,0302110107,"Airport Residential, Accra",Stationery and office supplies
EcoClean Supplies,Adwoa Sarpong,hello@ecoclean.gh,0302440108,"Madina Zongo Junction",Cleaning consumables
Bright Light Electronics,Kojo Annan,b2b@brightlight.gh,0302990109,"Makola Electronics Hub, Accra",Small appliances
Savanna Snacks Ltd,Afia Mensah,orders@savannasnacks.com,0302330110,"Kumasi Central Market",Snacks and confectionery
Atlantic Paper Mills,Kwesi Appiah,paper@atlantic.gh,0302660111,"Tema Free Zone",Paper products
Sunrise Dairy Distributors,Mansa Tetteh,dairy@sunrise.gh,0302220112,"East Legon, Accra",Chilled dairy
Prime Hardware Wholesale,Serwaa Osei,sales@primehardware.gh,0302880113,"Circle Industrial Area",Tools and fixtures
GreenLeaf Personal Care,Fiifi Quaye,b2b@greenleaf.gh,0302550114,"Labadi Beach Road",Soaps toiletries
Metro Frozen Foods,Esi Lamptey,frozen@metrofoods.gh,0302770115,"Achimota Mall Warehouse",Frozen goods
